Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
--ar ,,illustration,,Three-Quarter View (정면과 측면 사이의 약간 비스듬한 각도로 캐릭터를 촬영. 깊이와 입체감을 드러내며 가장 자연스러운 인물 구도),Dancing Pose (춤추는 포즈),Playful (장난스러운),,Portrait Side Light (옆쪽에서 비추는 조명으로 인물의 입체감과 윤곽을 강조하여 극적인 효과를 만듦),, intense gaze (강렬한 시선),,Canon EOS Ra + RF 15-35mm f/2.8L(천체 전용으로 나온 바디야. 적외선 투과율을 높여서 성운의 붉은 빛을 더 잘 담아내. 일반 바디로는 보이지 않는 색감이 나와),,,,,,"Detailed Skin Texture (피부 결, 주름, 잡티 등 세밀한 질감 묘사)",,,"Arc Shot (피사체를 중심으로 카메라가 360도 혹은 반원(Arc)을 그리며 빙글빙글 돕니다. 인물의 혼란스러운 심리 상태를 표현하거나, 영웅적인 순간을 다각도에서 멋지게 보여줄 때 사용)","Debris & Particles (폭발, 충돌, 파괴의 순간에 튀어 오르는 유리 조각, 돌가루, 불똥 등을 디테일하게 묘사합니다. 액션의 타격감을 시각적으로 극대화하는 요소)",
,,,,,,,,,,,,"Nikon Z9 + NIKKOR Z MC 105mm f/2.8 VR S(1:1 매크로에 VR 보정으로 손떨림 방지. 곤충, 꽃 등 극접사 촬영의 끝판왕)",,,,,,Raw Beauty Documentation (자연미를 기록하는 다큐멘터리적 접근),,,,,
--s / --stylize ,,digital painting,,"Emotive Expression (캐릭터의 얼굴 표정에 초점을 맞춰 특정 감정을 전달하는 구도. 기쁨, 슬픔, 분노, 두려움 등을 섬세하게 표현)",Yoga Pose (요가 포즈),Seductive (매혹적인),,Portrait Back Light (뒤쪽에서 비추는 역광으로 인물 주변에 후광 효과를 만들어 로맨틱하고 몽환적인 분위기 연출),,cozy atmosphere (아늑한 분위기),건축,"Sony A7R V + 12-24mm f/2.8 GM(좁은 공간에서 넓게 담아야 할 때. 왜곡이 적어서 수직선이 안 휘고, 고화소라 크롭해도 여유있어)",,,,,,,,,"Bullet Time (피사체의 움직임은 슬로우 모션(또는 정지에 가깝게) 유지하면서, 카메라는 그 주변을 자유롭게 회전하거나 이동하는 효과)","Impact Frame (애니메이션에서 타격 순간에 색을 반전시키거나 고대비(High Contrast)의 섬광을 넣는 기법입니다. 찰나의 순간, 뇌리에 박히는 강렬한 쇼크를 표현)",
--c / --chaos ,,watercolo,특수 샷,"Silhouette Shot (역광을 이용해 피사체를 검은 윤곽으로만 표현하는 기법. 신비로움, 익명성, 또는 극적인 시각적 임팩트를 만듦)",Athletic Pose (운동 포즈),Determined (단호한),,Portrait with Sunlight (자연스러운 햇빛을 이용한 인물 촬영으로 따뜻하고 생동감 있는 이미지를 만듦),,"phenomenal atmosphere
(경이로운 분위기)",,Canon EOS R5 + TS-R 24mm f/3.5L(틸트-시프트 렌즈라서 원근 왜곡을 광학적으로 보정해. 건물이 뒤로 넘어가는 느낌 없이 반듯하게 찍혀. 건축 전문 포토그래퍼 필수템이야),,,,,,,,,Hyperlapse (카메라 위치를 시간에 따라 일정하게 이동시키면서 특정 지점을 집중적으로 촬영한 영상),"Long Take (편집 없이 하나의 연속된 촬영으로 장면 전체를 담아내는 기법. 시간의 리얼함과 긴장감을 유지하며, 감독의 연출력과 배우의 연기력을 극대화)",
--Draft ,,A stunning fantasy portrait ,,Candid Shot (피사체가 카메라를 의식하지 않은 자연스러운 순간을 포착하는 기법. 진정성 있고 생동감 넘치는 이미지를 만듦),Candid Pose (자연스러운 포즈),Vulnerable (취약한),,Portrait Window Blinds (창 블라인드를 통과하는 빛과 그림자 패턴이 있는 인물 사진으로 흥미로운 시각적 효과를 연출),,light breeze (미풍),,"Fujifilm GFX 100S + 23mm f/4(중형 포맷 특유의 입체감. 인테리어 사진에서 공간감이 살아나고, 픽셀 시프트로 4억 화소 이미지도 가능해)",,,,,,,,,"Camera Roll (카메라가 축을 중심으로 회전, 화면이 뒤집히거나 기울어짐, 혼란·액션·긴장 표현)",Motion Trail (잔상 복제 효과),
--stealth,,fantasy art style,,"Mid-Air Action (인물이 점프하거나 날아오른, 발이 땅에서 떨어진 결정적인 순간을 포착합니다. 중력을 거스르는 듯한 부유감과 역동적인 포즈가 특징)",Heroic Stance (캐릭터가 강하고 자신감 있게 서 있는 구도. 주로 영웅이나 리더의 힘찬 존재감을 표현할 때 사용),Euphoric (황홀한),,Portrait Red Light (빨간색 조명을 사용한 인물 촬영으로 열정적이고 극적인 분위기를 표현),,,여행,Sony A7C II + 20-70mm f/4 G(가볍고 작은데 화각 범위가 넓어. 풍경부터 실내까지 렌즈 하나로 해결),,,,,,,,,"Whip Pan (매우 빠른 수평 회전, 모션 블러 발생, 장면 전환에 자주 사용)",Mirror Multiply (화면을 대칭·분할해서 복제),
--iw ,,DnD art style,,"Shot from Behind (피사체의 뒷모습을 촬영하여 인물이 바라보는 방향이나 목적지를 함께 보여주며, 미스터리한 분위기나 동행감을 연출) ","Group Interaction (다수의 캐릭터가 상호작용하는 장면. 관계, 역학, 감정적 교류를 한 프레임 안에서 보여줌)",Contemplative (명상적인),,Portrait Peach & Cyan (복숭아색과 청록색 조명을 조합한 인물 촬영으로 영화적이고 모던한 색감을 연출),,,,"Fujifilm X-T5 + 18-55mm f/2.8-4(APS-C라 시스템 전체가 가볍고, 필름 시뮬레이션으로 후보정 시간 절약. 여행 중 바로 공유하기 좋아)",,,,,,,,,,Rack Focus (같은 샷 안에서 초점을 한 피사체에서 다른 피사체로 이동시키는 기법),
--sref   --sw,,Dungeons and Dragons art style,,"Drone Shot (드론을 이용해 높은 곳에서 촬영하는 항공 샷. 광활한 풍경, 추격 장면, 또는 신의 시점 같은 웅장한 스케일을 표현)",,Defiant (도전적인),,Portrait Contrasty (강한 명암 대비를 활용한 인물 촬영으로 강렬하고 드라마틱한 인상을 만듦),,,,Nikon Zf + 40mm f/2 SE(레트로 디자인에 팬케이크 렌즈. 들고 다니는 것 자체가 즐거워지는 조합. 40mm가 생각보다 만능이야),,,,,,,,,,"Fluid Dynamics (물, 연기, 잉크, 불꽃 같은 유체(Fluid)의 물리적 움직임을 시뮬레이션하는 기술/연출)",
--cref   --cw,,,,"Establishing Shot (장면의 시작에서 배경이나 장소를 넓게 보여주는 샷. 도시 스카이라인, 건물 외관 등을 보여주어 관객에게 시공간적 맥락을 제공)",,"making eye contact with the viewer
(시청자와 눈맞춤)",,Portrait Bright (매우 밝은 조명을 사용하여 쾌활하고 긍정적인 분위기의 인물 사진을 촬영),,,,"Leica Q3(고정 렌즈 28mm f/1.7에 6000만 화소. 렌즈 고민 없이 그냥 들고 나가면 돼. 크롭해서 35mm, 50mm로도 쓸 수 있어)",,,,,,,,,,"Cloth Simulation (천, 망토, 옷자락, 깃발 같은 직물(Fabric)의 물리 움직임을 계산해 표현하는 시뮬레이션 기법)",
--oref   --ow,,Illumination studio ,,"Detail Shot (특정 물체나 신체 일부를 극도로 가깝게 촬영하여 디테일을 강조. 중요한 단서, 질감, 또는 상징적 의미를 전달할 때 사용)",,charismatic (카리스마),,Portrait Natural (인공 조명 없이 자연광만을 이용한 자연스럽고 편안한 분위기의 인물 촬영),,,패션화보,Hasselblad X2D + 80mm f/1.9(1억 화소 중형 포맷에 얕은 심도. 피부 질감부터 옷감의 결까지 다 보여. 하이엔드 패션지 촬영의 표준이야),,,,,,,,,,"Particle Effects (작은 입자(Particles)를 대량으로 생성해 불꽃, 먼지, 마법, 연기, 스파크, 에너지 등을 표현하는 VFX 기법)",
--no,,2D animation still,,,,"strong facial expression
(강렬한 표정)",,Portrait Dramatic (강한 명암과 극적인 조명을 사용하여 임팩트 있고 감정적인 인물 사진을 촬영),,,,"Sony A1 + 135mm f/1.8 GM(압축 효과로 얼굴형이 예쁘게 나오고, f/1.8의 보케가 몽환적이야. 연사 30프레임이라 점프샷 같은 동적인 촬영에도 강해)",,,,,,,,,,,
--tile,,Makoto Shinkai style,,,, highly expressive (과장된 표정),,Portrait Over Shoulder (다른 사람의 어깨 너머로 촬영하는 구도로 깊이감과 스토리텔링 효과를 만듦),,,,Phase One IQ4 + 110mm f/2.8(1억 5천만 화소의 끝판왕. 광고 촬영이나 대형 빌보드용 작업에 쓰여),,,,,,,,,,,
--v,,Japanese anime,,,,minimal expression (최소한의 표정),시네마틱,"Cinematic Lighting (영화에서 사용되는 조명 기술로, 주로 캐릭터를 조각하고 분위기를 설정하며 감정을 전달하는 세 포인트 조명 (키, 필, 백라이트) 활용)",,,음식,"Sony A7C II + 50mm f/2.8 Macro(컴팩트한 바디에 가벼운 매크로 렌즈. 음식 디테일 살리기 좋고, 손에 들고 다양한 앵글 시도하기 편해)",,,,,,,,,,,
,,,,,,lazy facial (게으른 표정),,Rim Light (피사체 뒤에서 빛을 비춰 머리카락이나 어깨 라인을 따라 밝은 테두리를 만듦. 배경과 인물을 분리하여 입체감을 주고 영웅적인 느낌),,,,Canon EOS R6 II + RF 35mm f/1.4L VCM(35mm로 음식과 주변 분위기를 함께 담을 때. 식당 인테리어나 손 동작까지 프레임에 넣는 스타일에 적합해),,,,,,,,,,,
카메라무빙,,Pixar style,,,,tired (피곤),,Chiaroscuro (르네상스 회화에서 유래한 극단적인 명암 대비 기법. 영화 느와르의 시그니처 룩),,,,Nikon Z5 + 60mm f/2.8 Macro(입문자용 가성비 조합. 충분한 화질에 매크로 기능까지. 블로그나 SNS용으로 차고 넘쳐),,,,,,,,,,,
효과,,Pixar animation concept art style,,,,,,"Motivated Lighting (장면 내 광원(창문, 램프 등)에서 나오는 것처럼 보이게 설계한 조명. 자연스럽고 몰입감 있는 영상 연출)",,,빈티지,Sony A7 IV + Helios 44-2 58mm f/2(소용돌이 보케의 전설. 독특한 분위기 사진에 제격이야. 저렴하게 구할 수 있고),,,,,,,,,,,
--fps ,,Hyper realistic Pixar style 3D character,,,,,,Volumetric Lighting (안개나 먼지 사이로 빛줄기가 선명하게 뚫고 지나가는 효과. 숲속의 아침 햇살이나 창문 틈으로 들어오는 빛처럼 성스럽고 신비로운 분위기 연출),,,,Nikon Zf + AI Nikkor 50mm f/1.4(니콘 F마운트 올드렌즈를 FTZ 어댑터로 활용. Zf의 레트로 바디와 찰떡궁합),,,,,,,,,,,
--duration ,,Pixar/Blender style,,,,,,Silhouette Lighting (대상이 밝은 배경에 대해 완전히 어두워지며 눈에 띄고 종종 신비한 시각적 효과를 만드는 방법),,,,Leica M11 + Canon 50mm f/0.95 Dream Lens(수동 초점의 낭만. 개방에서 몽환적인 글로우가 나와. 현대 렌즈에서는 느낄 수 없는 감성),,,,,,,,,,,
--motion ,,,,,,,,Strobe Lighting (빠르게 번쩍이는 강한 빛을 사용하여 빠르게 움직이는 대상을 정지시킬 수 있는 액션 또는 댄스 사진에서 활용),,,흑백,Leica M11 Monochrom + 35mm f/2 APO(컬러 필터가 없는 흑백 전용 센서. 같은 화소수라도 해상력이 30% 이상 높아. 계조 표현이 필름을 뛰어넘어),,,,,,,,,,,
--loop,,,,,,,,"Pattern Light (특정한 패턴이나 모양을 만들어내는 조명으로, 창문 블라인드나 격자 등을 통해 흥미로운 그림자 패턴을 연출)",,,,Leica Q2 Monochrom(고정렌즈 28mm 흑백 전용. 거리 스냅에서 빛과 그림자만으로 이야기하고 싶을 때),,,,,,,,,,,
,,DreamWorks ,,,,,,"Lens Flare (강한 빛이 렌즈에 직접 들어와 발생하는 광학적 현상으로, 의도적으로 활용하여 드라마틱한 효과를 연출)",,,,Pentax K-3 III Monochrome(DSLR 흑백 전용 바디. 가격이 라이카의 1/4 수준인데 흑백 감성은 진지해),,,,,,,,,,,
,,dc comics,,,,,자연광,Golden Hour (해 뜨고/지기 직전의 황금빛 시간대. 따뜻하고 부드러운 빛으로 어떤 피사체든 아름답게 담아냄),,,필름,"Nikon FM2 + 50mm f/1.4 AI-S(기계식 필름 카메라의 완성형. 배터리 없어도 작동하고, 이 렌즈 하나로 사진의 본질을 배울 수 있어)",,,,,,,,,,,
나노바나나,,Overwatch,,,,,,Blue Hour (해 뜨기 전/진 후의 푸른 시간대. 차갑고 몽환적인 분위기의 풍경이나 도시 야경에 적합),,,,Canon AE-1 + FD 50mm f/1.4(필름 입문자 국민 조합. 중고가도 저렴하고 FD 렌즈군이 풍부해),,,,,,,,,,,
,,anime-style,,,,,,Window Light (창문을 통해 들어오는 자연광. 부드럽게 확산되어 스튜디오 조명 없이도 좋은 인물 사진 가능),,,,Contax T3(고정렌즈 35mm f/2.8 Sonnar. 컴팩트 필름 카메라 중 최고봉),,,,,,,,,,,
,,fortnite style,,,,,,"Dawn Lighting (새벽녘의 부드럽고 차분한 조명으로, 하루의 시작을 알리는 고요하고 신선한 분위기를 연출)",,,,"Hasselblad 500C/M + 80mm f/2.8 Planar(중형 필름의 전설. 웨딩, 패션 역사를 만든 조합이야)",,,,,,,,,,,
,,indie movie animation,,,,,,"Sunset Lighting (저녁노을과 일몰시의 따뜻하고 극적인 조명으로, 로맨틱하고 감성적인 분위기를 만들어냄)",,,,Mamiya RZ67 + 110mm f/2.8(중형 인물 촬영의 끝판왕. 6x7 포맷의 심도와 해상력은 디지털로도 흉내 내기 어려워),,,,,,,,,,,
,, 3D cartoon style,,,,,,"Dusk Lighting (해가 진 후 완전히 어두워지기 전의 시간으로, 부드럽고 몽환적인 조명이 특징)",,,시네마,"Sony FX6 + Zeiss Supreme Prime 50mm T1.5(영화 촬영용 시네 렌즈. T스톱 표기, 부드러운 포커스 링, 호흡감 최소화)",,,,,,,,,,,
,,cartoonish 3D,,,,,,"Overcast Light (구름이 낀 날의 균등하고 부드러운 확산광으로, 그림자가 적고 피부톤을 자연스럽게 표현)",,,,Canon C70 + Sigma Cine 18-35mm T2(Super 35 센서에 시그마 시네줌. 가성비 좋은 영화 촬영 입문 세트),,,,,,,,,,,
,,,,,,,,"Dappled Light (나뭇잎 사이로 들어오는 빛이 만드는 얼룩무늬 패턴으로, 자연스럽고 로맨틱한 분위기를 연출)",,,,Blackmagic URSA Mini Pro + Cooke S4/i 75mm(Cooke의 따뜻한 색감. 'Cooke Look'이라고 불리는 특유의 부드러움이 있어),,,,,,,,,,,
,,Disney Renaissance style,,,,,,"Crepuscular Rays (구름 사이로 내려오는 햇빛이 만드는 광선 효과로, 신성하고 극적인 분위기를 연출)",,,,RED V-Raptor + Leica Thalia(8K 센서에 빈티지 시네마 느낌 렌즈. 현대 해상력에 클래식한 렌더링),,,,,,,,,,,
,,A line sketch of a disney-style drawing,,,,,,"Moonlight (달빛에 의한 은은하고 신비로운 조명으로, 차가운 색온도와 낮은 조도가 특징)",,,,,,,,,,,,,,,
,,,,,,,,"Sunlight Through (햇빛이 물체를 통과하여 뒤쪽에 위치한 물체나 공간을 밝혀주는 시각적 효과로, 창문으로 들어오는 햇빛이 방 안에 그림자와 빛깔을 만들어냄)",,,,,,,,,,,,,,,
,,,,,,,,Harsh Midday Sun (정오의 강한 직사광선으로 깊은 그림자와 높은 대비를 만듦. 다큐멘터리나 거친 사실적 묘사에 적합),,,,,,,,,,,,,,,
,,,,,,,,Late Afternoon Warmth (늦은 오후의 따뜻한 빛으로 긴 그림자와 부드러운 금빛 톤을 연출. 감성적인 인물 사진에 효과적),,,,,,,,,,,,,,,
,,,,,,,,Soft Diffused Daylight (부드럽게 확산된 자연광으로 그림자가 거의 없는 균일한 조명. 제품 촬영이나 자연스러운 인물 사진에 적합),,,,,,,,,,,,,,,
,,minimalist illustration,,,,,특수환경,"Gel Lighting (조명에 컬러 젤을 씌워 색감을 입히는 기법. 네온 사인 느낌, 사이버펑크 분위기 연출에 효과적)",,,,,,,,,,,,,,,
,,,,,,,,"Practical Lighting (장면 내 실제 조명(네온사인, TV, 촛불 등)을 활용. 분위기 있고 현실적인 느낌)",,,,,,,,,,,,,,,
,,oil painting,,,,,,"Midnight Lighting (한밤중의 매우 낮은 조도에서 인공 조명에 의존하는 조명 환경으로, 극적이고 미스터리한 분위기)",,,,,,,,,,,,,,,
,,,,,,,,"Candlelight (촛불의 따뜻하고 부드러운 조명으로, 로맨틱하고 친밀한 분위기를 만들어내는 자연스러운 조명)",,,,,,,,,,,,,,,
,,Game asset design,,,,,,"Neon Light (형광등이나 네온사인의 인공적이고 강렬한 색상의 조명으로, 도시적이고 현대적인 분위기를 연출)",,,,,,,,,,,,,,,
,,casual mobile game art style,,,,,,"Street Light (가로등에 의한 도시의 밤 조명으로, 오렌지빛 또는 흰빛의 인공 조명이 만드는 도시적 분위기)",,,,,,,,,,,,,,,
,, cartoon style ,,,,,,"Fluorescent Light (형광등의 차갑고 균등한 인공 조명으로, 사무실이나 상업공간의 실용적인 조명)",,,,,,,,,,,,,,,
,,casual game,,,,,,"Laser Lighting (레이저에 의한 집중적이고 강렬한 조명으로, 클럽이나 콘서트에서 사용되는 극적인 효과)",,,,,,,,,,,,,,,
,,,,,,,,"Twilight Light (황혼 시간의 부드럽고 몽환적인 조명으로, 하루와 밤 사이의 과도기적 조명 상태)",,,,,,,,,,,,,,,
,,Gardenescapes,,,,,,Cross Lighting (서로 다른 색의 조명을 양쪽에서 비추는 기법. 영화적이고 스타일리시한 인물 사진),,,,,,,,,,,,,,,
,,,,,,,전문기법,Bounced Light (벽이나 반사판에 조명을 반사시켜 부드럽고 고른 조명을 만드는 기법. 직접광의 강한 그림자를 피하고 자연스러운 느낌을 줍니다),,,,,,,,,,,,,,,
,,,,,,,,"Accent Lighting (특정 부분이나 대상을 강조하기 위한 포인트 조명으로, 주목도를 높이는 데 사용)",,,,,,,,,,,,,,,
,,,,,,,,Softbox Lighting (소프트박스를 사용하여 부드럽고 균등한 조명을 만드는 스튜디오 조명 기법),,,,,,,,,,,,,,,
,,,,,,,,"Flash Lighting (순간적으로 강한 빛을 발하는 플래시를 사용한 조명으로, 어두운 환경에서 피사체를 밝게 촬영)",,,,,,,,,,,,,,,
,,,,,,,,"Long Exposure Light (오랜 시간 셔터를 열어두어 빛의 궤적이나 움직임을 포착하는 기법. 밤하늘의 별 궤적, 도시의 자동차 불빛 등을 표현합니다)",,,,,,,,,,,,,,,
,,,,,,,,"Incandescent (전통적인 백열등이 만드는 따뜻한 색온도의 조명. 노란빛이 감도는 아늑하고 포근한 분위기를 연출하며, 레트로하고 클래식한 느낌을 줍니다)",,,,,,,,,,,,,,,
,,,,,,,,"Moody Lighting (특정한 감정이나 분위기를 강조하는 조명으로, 종종 어둡고 극적인 효과를 연출)",,,,,,,,,,,,,,,
,,,,,,,,Ethereal Lighting (초현실적이고 꿈같은 분위기를 만드는 부드럽고 신비로운 조명. 천사나 요정이 나타날 것 같은 천상의 느낌을 연출합니다),,,,,,,,,,,,,,,
,,,,,,,,Radiosity (씬의 표면에서 반사되어 다른 표면에 영향을 미치는 간접광의 물리적 현상. 현실감 있는 조명 시뮬레이션에 중요합니다),,,,,,,,,,,,,,,
,,,,,,,,Contre-jour (피사체 뒤쪽에서 비추는 역광으로 실루엣이나 후광 효과를 만드는 프랑스식 조명 기법),,,,,,,,,,,,,,,
